Ref,Val,Package,PosX,PosY,Rot,Side
"R13","100k","R_0603_1608Metric",176.753328,-137.097397,0.000000,top
"R14","100k","R_0603_1608Metric",180.051682,-135.911965,0.000000,top
"R15","100k","R_0603_1608Metric",176.753328,-134.557397,0.000000,top
"R16","100k","R_0603_1608Metric",180.051682,-133.371965,0.000000,top
"R17","100k","R_0603_1608Metric",176.753328,-132.017397,0.000000,top
"R18","100k","R_0603_1608Metric",180.051682,-130.831965,0.000000,top
"R19","100k","R_0603_1608Metric",176.753328,-129.477397,0.000000,top
"R20","100k","R_0603_1608Metric",180.051682,-128.291965,0.000000,top
"R21","100k","R_0603_1608Metric",176.753328,-126.937397,0.000000,top
"R22","100k","R_0603_1608Metric",180.051682,-125.751965,0.000000,top
"R23","100k","R_0603_1608Metric",176.753328,-124.397397,0.000000,top
"R24","100k","R_0603_1608Metric",180.051682,-123.211965,0.000000,top
"R25","100k","R_0603_1608Metric",176.753328,-121.857397,0.000000,top
"R26","100k","R_0603_1608Metric",180.051682,-120.671965,0.000000,top
"R27","100k","R_0603_1608Metric",176.753328,-119.317397,0.000000,top
"R28","100k","R_0603_1608Metric",180.051682,-118.131965,0.000000,top
"R29","100k","R_0603_1608Metric",154.000000,-106.948391,0.000000,top
"U8","MAX11643EEG","SSOP-24_3.9x8.7mm_P0.635mm",157.330940,-142.498440,180.000000,top
"U9","MAX11643EEG","SSOP-24_3.9x8.7mm_P0.635mm",155.917328,-128.969397,180.000000,top
"U10","LM321","SOT-23-5",154.233742,-102.818391,180.000000,top
